category,A,M,k,E_over_C,surplus,H_ratio,budget_ratio,worst_r_over_q,theoretical_ok,actual_ok,decomp_ok,first_mismatch_x,first_mismatch_sum,first_mismatch_F,max_gap,true_ratio,C,E,V,U,budget
random<=100,"{8,18,19,22,29,30}",30,6,22790.990827568537,-234816.08746631473,2.404761904761905,1.733354154817201,2.749821261617995e-05,False,False,False,30,7,8,53,1.2373737373737375,3.4344167629104114,78273.76094153881,4.4891943482007,0.7319331085819515,5.953060565364603
random<=100,"{26,36,44,57,68}",68,5,14531.392621312169,-166176.90873007284,1.4572072072072073,1.1814399762499916,4.0894777736883e-05,False,False,False,68,5,6,36,1.397893772893773,3.8120476015212863,55394.36038883717,2.743174953701269,0.8802652370519385,4.503705427805146
random<=100,"{16,38,43,61,74}",74,5,270380.4454799627,-5505406.63580353,1.2487499999999996,0.6505220399014408,2.508176655898228e-06,False,True,False,76,8,9,28,1.2909836065573772,6.787246423340089,1835138.7115249767,2.283286012400425,1.0659836881122635,4.4152533886249525
random<=100,"{4,7,10,17,18}",18,5,419.11728395061726,-4559.372549019608,2.2222222222222223,1.4495279389484665,0.0008403361344537816,False,False,False,18,7,9,48,1.1949404761904763,3.630252100840337,1521.5014005602243,3.369747899159663,0.9462019732173856,5.262151845594435
random<=100,"{12,13,16,17,18,19,20}",20,7,33461.586875,-244801.4906406288,2.988461538461539,2.4583705206043565,1.3230663385462147e-05,False,False,False,24,7,8,44,1.2916666666666665,2.438675875208384,81601.96465825199,4.811324124791616,0.5919223780648519,5.9951688809213195
random<=100,"{15,20,22,26,39}",39,5,172.72129319955405,-1728.3170163170164,2.0351851851851857,1.4399630819209575,0.004545454545454545,False,False,False,39,5,6,37,1.3,3.345454545454546,577.8312354312355,3.3378787878787874,0.7397261249102083,4.817331037699204
random<=100,"{8,12,15,18,39,46,53}",53,7,45627.10340368867,-954813.13549708,1.6535714285714287,1.1776387406588367,9.29022668153103e-06,False,False,False,53,9,15,82,1.1343984962406015,6.975548123374213,318274.05552260164,4.904230315779227,1.6552226958181468,8.21467570741552
random<=100,"{9,24,25,28,34,40,41,52,60}",60,9,267047.1403433476,-4520447.04101408,2.4154166666666663,1.737386192378431,5.255385456246288e-07,False,False,False,60,11,17,114,1.1345427059712774,5.642518170495217,1506818.3417661253,6.281724253747208,1.7607544529577934,9.803233159662796
random<=100,"{15,19,35,44,53}",53,5,51420.00865932608,-460223.955428881,2.2907880133185348,1.686998698826153,1.139211665527455e-05,False,False,False,53,6,8,66,1.2444444444444445,2.9834586466165414,153409.4694437638,3.3410868079289133,0.8460020234574137,5.03309085484374
random<=100,"{11,15,20,23,24,32,35}",35,7,6265.931419906856,-65328.59047619049,2.2600000000000002,1.8613619228737128,4.117259552042161e-05,False,False,False,35,7,10,65,1.2215909090909092,3.475625823451911,21778.03305100697,4.173679732103645,1.1478589169131677,6.469397565929981
random<=100,"{21,38,41,56,69,86,93}",93,7,18540088.847530268,-282916799.8346938,1.6308309037900877,1.1107775460911198,2.3178120892257525e-08,False,False,False,93,8,12,79,1.2487455197132615,5.086577698531268,94305602.46063574,4.231279444325875,0.7093884248252511,5.650056293976378
random<=100,"{9,11,13,14,16,23}",23,6,18855.03780481152,-180144.43660687143,2.207357859531773,1.7154307900562529,2.0812520812520813e-05,False,False,False,23,6,8,61,1.358695652173913,3.1848151848151853,60049.81071102811,3.9563885188885184,0.753470754891073,5.463330028670664
random<=100,"{40,42,56,59,63,100}",100,6,1179.5158863328822,-14064.300672585421,2.2397959183673475,1.5499395270569654,0.0004035512510088781,False,False,False,100,7,8,47,1.3214285714285714,3.9763249932741465,4690.138498789347,3.8675903506411977,1.1477364644294619,6.163063279500122
random<=100,"{31,42,50}",50,3,287.284,-1585.268202764977,1.8675,1.3740728776238986,0.0015360983102918587,False,False,False,62,3,4,19,1.5644841269841268,1.8433179723502306,529.5557603686636,1.3471582181259598,0.5928475062585858,2.5328532306431315
random<=100,"{4,17,29,38,41,50}",50,6,162343.7740592897,-5530361.636245564,1.4711538461538463,0.6446532879879948,1.3019239832624653e-06,False,True,False,50,15,18,66,1.125356125356125,11.355276828096562,1843458.495761196,5.4692184872709655,0.9254990279876859,7.320216543246337
random<=100,"{16,23,28,29,34,40,42}",42,7,264737.0824823396,-2332800.762240729,3.2829131652661068,2.345294179731734,2.204779962959697e-06,False,False,False,46,8,9,61,1.2589285714285714,2.9372607813740195,777601.849750755,5.06273921862598,0.9130006981423968,6.888740614910773
random<=100,"{21,41,49,50}",50,4,953.2462937062937,-5424.863315082131,2.506666666666667,2.057279051364226,0.0008296001327360213,False,False,False,50,4,5,34,1.4464285714285714,1.8981251037000169,1809.3807200929155,2.6891764836015706,0.6078982645545116,3.9049730127105935
random<=100,"{12,16,20,21,25,26,27,29,35,38}",38,10,302096.6307928427,-3708288.639629845,3.3365650969529086,2.432667696935604,1.2631047113805735e-06,False,False,False,38,11,13,88,1.1604938271604937,4.091731716559304,1236098.3656807805,6.908268283440696,1.5227776439799954,9.953823571400687
random<=100,"{10,29,31,57,61,74,85,86}",86,8,9830713335.340178,-226863866877.54123,1.7038205980066445,1.0088228972524365,1.0172201812046836e-10,False,False,False,86,13,17,110,1.173326035395001,7.692350125882296,75621288962.61678,5.730205444041695,1.0150067483155139,7.760218940672722
random<=100,"{9,14,24,25,29,32,34,49}",49,8,17562.002213084863,-259007.24415338555,2.341836734693877,1.7063447629364805,1.9720531890917284e-05,False,False,False,49,9,15,105,1.1041666666666667,4.916186612576066,86338.08016999906,4.709080481441028,1.8398143992732894,8.388709279987607
random<=100,"{17,27,32,37,52,56,59}",59,7,2387113.0510145193,-26808192.462446347,2.107142857142857,1.7103762981848538,1.8198547610312317e-07,False,False,False,59,7,10,79,1.2636217948717947,3.743461625814568,8936066.102953987,4.945313791759869,0.728707123098953,6.402728037957775
random<=100,"{76,78,84,88}",88,4,4517.202586206897,-21817.401966454603,2.497159090909091,1.7118297033389058,0.000192789666473877,False,False,False,152,4,5,25,1.8231534090909092,1.610179294389821,7273.506072874496,2.389820705610179,0.18326601911379858,2.756352743837776
random<=100,"{7,16,72}",72,3,3.3185185185185184,-56.23809523809525,1.3759615384615382,0.6401205589499261,0.07142857142857142,False,True,False,72,7,15,81,1.1160714285714288,6.42857142857143,21.333333333333336,2.127472527472526,0.9937941043170715,4.115060736106669
random<=100,"{4,13,17,25,29,61}",61,6,124050.25865644196,-5605621.853416176,1.2548581932773106,0.48612343445589634,3.1206116398814168e-06,False,True,False,61,18,26,101,1.0869565217391304,15.062817912310816,1868546.4581170438,4.569328078303345,1.3765303489064922,7.322388776116329
random<=100,"{29,37,63}",63,3,576.040027605245,-5329.007588869658,1.554054054054054,0.939097244023612,0.0009319664492078285,False,True,False,87,5,6,16,1.4065255731922397,3.0866728797763288,1778.0471308747174,1.6160298229263739,0.6413280858370012,2.8986859946003762
random<=100,"{71,84}",84,2,62.89665653495441,-247.21931589537223,1.9940476190476193,1.4254280310083598,0.014084507042253521,False,False,False,142,2,3,8,1.8204225352112675,1.323943661971831,83.27162977867204,0.676056338028169,0.6055650346111678,1.8871864072505047
